,PTT,Siam Cement,Airports of Thailand,Advanced Info Service,The Siam Commercial Bank,Kasikornbank,CP All,Bangkok Dusit Medical Services,Bangkok Bank,Krung Thai Bank,PTT Exploration and Production,PTT Global Chemical,Central Pattana,Intouch Holdings,True Corporation,Minor International,Bumrungrad International Hospital,Charoen Pokphand Foods,Thai Oil,Land and Houses,BTS Group Holdings,Glow Energy,TMB Bank,Indorama Ventures,Delta Electronics (Thailand),Bangkok Life Assurance,Home Product Center,IRPC,Thai Union Group,EGCO,Siam City Cement,Total Access Communication,Tipco Asphalt,BEC World,Central Plaza Hotel,Pruksa Real Estate,MK Restaurant Group,CH. Karnchang,Srisawad Power 1979,Bangkok Airways,Robinson Department Store,Thanachart Capital,Bangchak Petroleum,TPI Polene,Thai Tap Water Supply,Banpu,WHA Corporation,Italian Thai Development,Carabao Group,Jasmine International
Robinson Department Store,,,,,,,,,,,,,,,,,,,,,,,,,,4955,2112,11694,6369,18279,827,11436,8242,3689,12036,6344,20353,12059,20801,32536,0,11127,11981,6184,43939,2216,18508,10484,5794,667
Thanachart Capital,,,,,,,,,,,,,,,,,,,,,,,,,,5561,11079,16695,7268,20345,8195,3106,7594,7900,16926,7243,23081,3516,25111,37109,11769,0,14708,6513,29466,6661,21235,20230,4455,8572
Bangchak Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,11947,14679,21536,17962,28121,15319,22602,19408,9656,21878,17937,10737,23225,30643,31773,15640,20603,0,12430,49830,14196,8539,18613,12786,15406
TPI Polene,,,,,,,,,,,,,,,,,,,,,,,,,,4068,8483,15340,14028,21925,5640,13726,14354,5038,15681,14003,19779,10448,24447,37664,6396,10152,11406,0,36421,8000,18250,20785,3011,5727
Thai Tap Water Supply,,,,,,,,,,,,,,,,,,,,,,,,,,37507,44815,38086,41004,40470,46290,28584,38356,48913,37051,40979,64094,28918,42985,70845,45505,30231,55722,38028,0,35163,59176,53966,37148,46130
Banpu,,,,,,,,,,,,,,,,,,,,,,,,,,5774,1759,10860,5535,17445,2638,10602,7408,6021,11201,5510,21202,11225,19967,31702,1932,10292,12830,8059,43105,0,19357,9664,4939,2478
WHA Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,20626,23358,30215,26641,36800,24704,31281,28087,18335,30557,26616,6774,31904,39322,29734,25460,29282,11496,21493,59309,22875,0,13668,21465,24791
Italian Thai Development,,,,,,,,,,,,,,,,,,,,,,,,,,17495,13645,19260,13936,25846,11861,19003,15809,17742,19602,13910,12802,19626,28367,19768,14334,18693,18306,19780,51506,10680,18085,0,18334,11701
Carabao Group,,,,,,,,,,,,,,,,,,,,,,,,,,1664,5021,14567,9563,21152,5673,6822,9889,5379,14909,9538,20559,9130,23674,36891,6719,4526,12187,2438,35103,7228,20548,20012,0,6050
Jasmine International,,,,,,,,,,,,,,,,,,,,,,,,,,5115,2306,11284,7710,17869,987,11890,8696,2961,11626,7685,20513,12513,20391,33608,1596,11581,8262,6344,44393,2670,18668,10606,5954,0
